Timestamp,When it comes time to meet your 1st blind date you find that your date is a foot shorter than you. How does this influence your feelings about your date?,"When you're set up on your 2nd blind date, you find that your date is a foot taller than you. How does this influence your feeling about your date?","During you're 3rd blind date, towards the end of the meal, you suggest possibly returning to your (or your date's) home to continue the date.  It is at this point that your date discloses that they are transgender.  They continue by explaining that they've fully transitioned in every way, except that they have not and will not be undergoing any surgeries that involve their genitals.  How does this influence your feelings about your date?","On your 4th blind date your date discloses that they are A-sexual.  They continue to explain that they are romantically interested in you and would very much like to go on more dates with you, but doesn't ever want to have a sexual relationship with you or anybody else, ever.  How does this influence your feelings about your date?","During your 5th blind date, your conversation turns to gender and your date informs you that they do not identify as either male or female and ask that you use ""they/them"" pronouns when referring to them. How does this influence your feelings about your date?","On your 6th blind date your date discloses that they are A-romantic.  They continue by explaining that they're not interested in the romantic aspects of relationships, but would be interested in exploring a sexual relationship with you.  (This person would still be a friend of yours)  How does this influence your feelings about your date?",Age,Sexuality,Gender,Race
11/18/2016 12:11:49,This is a deal breaker,This is a positive for me,"i do not fear any member of the LGBTQ community, as i have respect for them, but i couldn't continue with the date",This makes no difference to me,This is a deal breaker,This is a deal breaker,20,Heterosexual,Female,mixed
11/20/2016 18:33:30,I do not like blind dates,I do not like blind dates,I do not like blind dates,I never have blind date,I do not like to meet people in the blind dates,never being in one,45,Homosexual,Female,Latin(o/a)
11/20/2016 13:41:58,This makes no difference to me,This makes no difference to me,I honestly do not know what to say. I would possibly be ok with this but I'm really not sure. It doesn't really make a difference to me. ,This is a deal breaker,This makes no difference to me,This is a deal breaker,20,Heterosexual,Female,Asian or pascific Islander
11/19/2016 21:14:20,This is a deal breaker,This is a positive for me,It's not a deal breaker but it would make me somewhat nervous but I would still like to get to know the person and see if it could turn to something more ,This is a deal breaker,This makes no difference to me,"It honestly depends how I feel about this person. If I feel like it's someone I don't see myself have anything serious with but I am sexually attractive to them I'd go for it. However, if I actually had caught feelings for that person I don't think I would go for it because I'd probably end up hurt in the end. ",24,Heterosexual,Female,Latin(o/a)
11/22/2016 13:23:59,This is a positive for me,Not sure,There would be a complete shift in the type of relationship we have. ,"This is a turn off, but not a deal breaker",Not sure,This is a positive for me,38,Heterosexual,Male,Mix
11/18/2016 12:51:26,"This is a turn off, but not a deal breaker",This is a positive for me,This is a deal breaker,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker",19,Bisexual or Pansexual,,Asian or pascific Islander
11/21/2016 10:43:13,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,24,Heterosexual,Female,Asian or pascific Islander
11/18/2016 12:20:39,This is a deal breaker,This makes no difference to me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,19,Heterosexual,Female,Asian or pascific Islander
11/18/2016 13:56:16,This is a deal breaker,This makes no difference to me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,19,Heterosexual,Female,Asian or pascific Islander
11/18/2016 18:07:26,This makes no difference to me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a positive for me,,Heterosexual,Male,Asian or pascific Islander
11/21/2016 11:25:58,"This is a turn off, but not a deal breaker",This is a positive for me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,20,Heterosexual,Female,Latin(o/a)
11/23/2016 22:54:19,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,25,Homosexual,Female,Latin(o/a)
11/20/2016 14:18:36,This is a deal breaker,This is a positive for me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,20,Heterosexual,Female,Middle Eastern
11/19/2016 11:08:47,"This is a turn off, but not a deal breaker",This makes no difference to me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,46,Heterosexual,Female,White
11/18/2016 12:57:51,"This is a turn off, but not a deal breaker",This is a positive for me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a positive for me,21,Heterosexual,Female,White
11/18/2016 12:59:53,"This is a turn off, but not a deal breaker",This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker",29,Heterosexual,Male,White
11/21/2016 12:09:12,This makes no difference to me,"This is a turn off, but not a deal breaker",This is a deal breaker,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker",27,Heterosexual,Male,White
11/18/2016 13:00:56,This makes no difference to me,This makes no difference to me,This is a deal breaker,This is a deal breaker,This is a deal breaker,,,Heterosexual,Male,White
11/18/2016 21:22:03,This is a deal breaker,This is a positive for me,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,18,Heterosexual,Female,
11/18/2016 12:28:47,"The deception makes me think they are insecure, which is unattractive. The height difference itself doesn't bother me.",Same as above. ,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker",This makes no difference to me,46,Homosexual,Male,Black
11/18/2016 12:49:10,"This is a turn off, but not a deal breaker",This makes no difference to me,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker",This is a deal breaker,23,Heterosexual,Female,Latin(o/a)
11/18/2016 12:06:11,"This is a turn off, but not a deal breaker",This makes no difference to me,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker",This makes no difference to me,26,Heterosexual,Female,Mixed
11/24/2016 23:13:19,This is a deal breaker,This is a deal breaker,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker","this would be a positive if i didnt care much about them romantically, it would be a turn off/dealbreaker if i felt strongly about them romantically",19,Heterosexual,Male,White
11/19/2016 21:08:53,"This is a turn off, but not a deal breaker",This is a positive for me,This is a deal breaker,This is a deal breaker,This makes no difference to me,This is a positive for me,19,Heterosexual,Female,Asian or pascific Islander
11/18/2016 12:59:03,This makes no difference to me,This makes no difference to me,This is a deal breaker,"This is a turn off, but not a deal breaker",This is a deal breaker,This makes no difference to me,19,Heterosexual,Male,Asian or pascific Islander
11/28/2016 19:05:54,"This is a turn off, but not a deal breaker",This makes no difference to me,This is a deal breaker,"This is a turn off, but not a deal breaker",This is a positive for me,This is a deal breaker,26,Heterosexual,Female,Latin(o/a)
11/30/2016 16:35:07,This is a positive for me,"This is a turn off, but not a deal breaker",This is a deal breaker,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",This is a positive for me,19,Heterosexual,Male,Asian or pascific Islander
11/18/2016 12:43:04,This makes no difference to me,"This is a turn off, but not a deal breaker",This is a deal breaker,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",23,Heterosexual,Male,Latin(o/a)
11/18/2016 12:39:59,This makes no difference to me,This makes no difference to me,This is a deal breaker,"This is a turn off, but not a deal breaker",This makes no difference to me,This is a positive for me,20,Heterosexual,Male,Asian or pascific Islander
11/18/2016 12:23:48,This is a deal breaker,This is a positive for me,This is a deal breaker,"This is a turn off, but not a deal breaker",This makes no difference to me,This is a deal breaker,20,Heterosexual,Female,Latin(o/a)
11/20/2016 23:25:12,"This is a turn off, but not a deal breaker",This is a positive for me,This is a deal breaker,This makes no difference to me,This is a deal breaker,"This is a turn off, but not a deal breaker",26,Heterosexual,Female,Native American
11/27/2016 12:04:42,"This is a turn off, but not a deal breaker",This is a positive for me,This is a deal breaker,This makes no difference to me,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",19,Heterosexual,Female,Asian or pascific Islander
11/19/2016 13:07:00,This is a deal breaker,This is a positive for me,This is a deal breaker,This makes no difference to me,This makes no difference to me,This makes no difference to me,18,Heterosexual,Female,Asian or pascific Islander
11/18/2016 13:40:15,"This is a turn off, but not a deal breaker",This is a positive for me,"This is a turn off, but not a deal breaker",This is a deal breaker,This is a deal breaker,This is a deal breaker,21,Heterosexual,Female,middle eastern
11/18/2016 12:06:37,This is a positive for me,This makes no difference to me,"This is a turn off, but not a deal breaker",This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker",22,Heterosexual,Male,White
11/21/2016 21:25:52,This makes no difference to me,This makes no difference to me,"This is a turn off, but not a deal breaker",This is a deal breaker,This makes no difference to me,This is a positive for me,23,Heterosexual,Female,Latin(o/a)
11/18/2016 13:40:56,This makes no difference to me,This makes no difference to me,"This is a turn off, but not a deal breaker",This is a deal breaker,This makes no difference to me,This is a deal breaker,,Bisexual or Pansexual,Female,White
11/19/2016 23:10:34,Not really.  I'd be interested to see if it bothered my date.,This is a positive for me,"This is a turn off, but not a deal breaker",This is a deal breaker,This makes no difference to me,This is a positive for me,26,Heterosexual,Female,White
11/18/2016 12:10:21,This makes no difference to me,This is a positive for me,"This is a turn off, but not a deal breaker",This is a deal breaker,This makes no difference to me,This makes no difference to me,25,Homosexual,Male,White and Black
11/18/2016 12:48:25,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",24,Heterosexual,Female,Asian or pascific Islander
11/18/2016 12:16:09,This is a deal breaker,This is a deal breaker,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",,Heterosexual,Male,Asian or pascific Islander
11/18/2016 14:26:39,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",This makes no difference to me,This is a deal breaker,23,Bisexual or Pansexual,Female,Mixed Race (Asian and Caucasian)
11/18/2016 12:55:44,This makes no difference to me,This makes no difference to me,"This is a turn off, but not a deal breaker",This makes no difference to me,This makes no difference to me,This makes no difference to me,20,Heterosexual,Male,Asian or pascific Islander
11/19/2016 15:00:36,This makes no difference to me,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",This makes no difference to me,This makes no difference to me,This makes no difference to me,23,Straight,Male,Asian or pascific Islander
11/18/2016 12:25:28,This is a deal breaker,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",This makes no difference to me,This makes no difference to me,This is a deal breaker,20,straight,Male,Black
11/19/2016 21:30:33,"This is a turn off, but not a deal breaker",This makes no difference to me,This makes no difference to me,let's be just friends,This makes no difference to me,This is a deal breaker,,Bisexual or Pansexual,Female,White
11/18/2016 13:14:16,This makes no difference to me,This makes no difference to me,This makes no difference to me,This is a deal breaker,This is a deal breaker,This is a deal breaker,32,Heterosexual,Female,mixed
11/27/2016 16:30:34,This is a positive for me,This is a deal breaker,This makes no difference to me,This is a deal breaker,This is a deal breaker,This is a deal breaker,43,Heterosexual,Male,White
11/18/2016 16:19:04,"This is a turn off, but not a deal breaker",This is a positive for me,This makes no difference to me,This is a deal breaker,"This is a turn off, but not a deal breaker",This is a deal breaker,,Bisexual or Pansexual,Female,White
11/23/2016 12:12:17,"This is a turn off, but not a deal breaker",Yaaaaas,This makes no difference to me,This is a deal breaker,This makes no difference to me,This is a deal breaker,19,Heterosexual,Female,Latin(o/a)
11/18/2016 12:14:14,This is a deal breaker,This is a positive for me,This makes no difference to me,"This is a turn off, but not a deal breaker",to much mental work ,This makes no difference to me,30,Bisexual or Pansexual,Female,latina white native american 
11/20/2016 21:51:22,This is a deal breaker,"This is a turn off, but not a deal breaker",This makes no difference to me,This makes no difference to me,"This is a turn off, but not a deal breaker","This is a turn off, but not a deal breaker",19,Bisexual or Pansexual,Female,Latin(o/a)
11/18/2016 12:00:52,This makes no difference to me,"This is a turn off, but not a deal breaker",This makes no difference to me,This makes no difference to me,This makes no difference to me,This makes no difference to me,22,Heterosexual,Female,Asian or pascific Islander
11/18/2016 17:09:14,This makes no difference to me,This is a positive for me,This makes no difference to me,This makes no difference to me,This makes no difference to me,"This is a turn off, but not a deal breaker",19,Questioning,Female,Asian or pascific Islander
11/19/2016 17:48:28,This makes no difference to me,This makes no difference to me,This makes no difference to me,This makes no difference to me,This makes no difference to me,This makes no difference to me,27,straight,Female,Asian or pascific Islander
11/20/2016 22:53:56,"This is a turn off, but not a deal breaker",This makes no difference to me,this would be a surprise to me. Not a dealbreaker,This makes no difference to me,This makes no difference to me,This is a deal breaker,18,Bisexual or Pansexual,Female,Asian or pascific Islander
1/2/2017 17:03:55,This makes no difference to me,This makes no difference to me,This makes no difference to me,This makes no difference to me,This makes no difference to me,This makes no difference to me,22,Bisexual or Pansexual,Female,White
